AURAL2,,Convert to %R("AURAL2"):AURAL2,,Convert to Abs("Convert to %R("AURAL2"):AURAL2"):Convert to %R("AURAL2"):AURAL2,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),Abs,
2132,23.01815987,2132,23.01815987,2132,0.6379293799,
2131,22.95388222,2131,22.95388222,2131,0.6391438246,
2130,22.89936447,2130,22.89936447,2130,0.6401765943,
2129,22.90434647,2129,22.90434647,2129,0.6400820613,
2128,22.94002151,2128,22.94002151,2128,0.6394062042,
2127,22.85750389,2127,22.85750389,2127,0.6409711838,
2126,22.86858559,2126,22.86858559,2126,0.6407607198,
2125,22.83884048,2125,22.83884048,2125,0.6413259506,
2124,22.83335114,2124,22.83335114,2124,0.6414303184,
2123,22.79136276,2123,22.79136276,2123,0.6422296762,
2122,22.81622696,2122,22.81622696,2122,0.6417561769,
2121,22.74935722,2121,22.74935722,2121,0.6430308819,
2120,22.75291634,2120,22.75291634,2120,0.6429629326,
2119,22.73890686,2119,22.73890686,2119,0.6432304382,
2118,22.70950127,2118,22.70950127,2118,0.6437923908,
2117,22.71680641,2117,22.71680641,2117,0.6436527371,
2116,22.69439888,2116,22.69439888,2116,0.6440812945,
2115,22.68563271,2115,22.68563271,2115,0.6442491412,
2114,22.63585091,2114,22.63585091,2114,0.6452031732,
2113,22.6700573,2113,22.6700573,2113,0.6445474029,
2112,22.60964394,2112,22.60964394,2112,0.645706296,
2111,22.66711807,2111,22.66711807,2111,0.6446037292,
2110,22.58493614,2110,22.58493614,2110,0.6461811066,
2109,22.52692223,2109,22.52692223,2109,0.6472981572,
2108,22.56364441,2108,22.56364441,2108,0.6465907693,
2107,22.51755333,2107,22.51755333,2107,0.6474788189,
2106,22.51614571,2106,22.51614571,2106,0.647505939,
2105,22.46289825,2105,22.46289825,2105,0.6485341787,
2104,22.49523926,2104,22.49523926,2104,0.6479093432,
2103,22.44111061,2103,22.44111061,2103,0.6489556432,
2102,22.4369812,2102,22.4369812,2102,0.649035573,
2101,22.45638657,2101,22.45638657,2101,0.6486601233,
2100,22.38371658,2100,22.38371658,2100,0.6500678062,
2099,22.42471886,2099,22.42471886,2099,0.6492729783,
2098,22.33211899,2098,22.33211899,2098,0.6510700583,
2097,22.35487366,2097,22.35487366,2097,0.6506277919,
2096,22.31245995,2096,22.31245995,2096,0.6514525414,
2095,22.32160187,2095,22.32160187,2095,0.6512746811,
2094,22.3283596,2094,22.3283596,2094,0.6511431932,
2093,22.26673126,2093,22.26673126,2093,0.6523435712,
2092,22.29366112,2092,22.29366112,2092,0.6518185735,
2091,22.25195694,2091,22.25195694,2091,0.6526317596,
2090,22.25726318,2090,22.25726318,2090,0.6525282264,
2089,22.24213791,2089,22.24213791,2089,0.6528234482,
2088,22.2186203,2088,22.2186203,2088,0.6532828808,
2087,22.22776794,2087,22.22776794,2087,0.6531041265,
2086,22.14862061,2086,22.14862061,2086,0.6546533108,
2085,22.18820572,2085,22.18820572,2085,0.6538777947,
2084,22.15179443,2084,22.15179443,2084,0.6545910835,
2083,22.15456772,2083,22.15456772,2083,0.6545367241,
2082,22.10168648,2082,22.10168648,2082,0.6555745602,
2081,22.09384727,2081,22.09384727,2081,0.6557286382,
2080,22.12353134,2080,22.12353134,2080,0.6551455259,
2079,22.08335114,2079,22.08335114,2079,0.6559350491,
2078,22.02874374,2078,22.02874374,2078,0.6570102572,
2077,22.06618881,2077,22.06618881,2077,0.6562726498,
2076,21.99672127,2076,21.99672127,2076,0.6576420665,
2075,22.08185196,2075,22.08185196,2075,0.6559644938,
2074,21.99725533,2074,21.99725533,2074,0.6576315165,
2073,21.95328331,2073,21.95328331,2073,0.6585004926,
2072,21.96509933,2072,21.96509933,2072,0.6582668424,
2071,21.99071121,2071,21.99071121,2071,0.6577607393,
2070,21.93011284,2070,21.93011284,2070,0.6589591503,
2069,21.92432785,2069,21.92432785,2069,0.6590737104,
2068,21.93155098,2068,21.93155098,2068,0.6589306593,
2067,21.87496185,2067,21.87496185,2067,0.6600527167,
2066,21.88858223,2066,21.88858223,2066,0.6597823501,
2065,21.89211655,2065,21.89211655,2065,0.659712255,
2064,21.83625793,2064,21.83625793,2064,0.6608217955,
2063,21.82569885,2063,21.82569885,2063,0.6610318422,
2062,21.83457756,2062,21.83457756,2062,0.6608552337,
2061,21.82278824,2061,21.82278824,2061,0.6610897779,
2060,21.76462936,2060,21.76462936,2060,0.6622487307,
2059,21.78671265,2059,21.78671265,2059,0.6618083119,
2058,21.74146652,2058,21.74146652,2058,0.6627111435,
2057,21.75521469,2057,21.75521469,2057,0.6624366641,
2056,21.74108315,2056,21.74108315,2056,0.6627188325,
2055,21.71690178,2055,21.71690178,2055,0.663202107,
2054,21.7070179,2054,21.7070179,2054,0.6633998156,
2053,21.65878487,2053,21.65878487,2053,0.6643659472,
2052,21.67161369,2052,21.67161369,2052,0.6641087532,
2051,21.65289307,2051,21.65289307,2051,0.6644840837,
2050,21.64619255,2050,21.64619255,2050,0.6646184921,
2049,21.63908577,2049,21.63908577,2049,0.6647610664,
2048,21.6072731,2048,21.6072731,2048,0.6654000282,
2047,21.60641861,2047,21.60641861,2047,0.6654171944,
2046,21.61825562,2046,21.61825562,2046,0.6651793718,
2045,21.57355118,2045,21.57355118,2045,0.6660783887,
2044,21.54204178,2044,21.54204178,2044,0.6667131186,
2043,21.51864243,2043,21.51864243,2043,0.6671851277,
2042,21.51245308,2042,21.51245308,2042,0.6673100591,
2041,21.52148247,2041,21.52148247,2041,0.6671278477,
2040,21.50573158,2040,21.50573158,2040,0.6674457788,
2039,21.49344826,2039,21.49344826,2039,0.667693913,
2038,21.48595238,2038,21.48595238,2038,0.6678453684,
2037,21.47002602,2037,21.47002602,2037,0.6681674123,
