temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
256.941,NIR,978.0,7.592801746180376
257.456,NIR,975.0,7.5654886503879295
257.995,NIR,975.0,7.557294654031303
258.526,NIR,975.0,7.557294654031303
259.068,NIR,975.0,7.5497506606904325
259.613,NIR,975.0,7.549100657674676
260.131,NIR,975.0,7.5497506606904325
260.667,NIR,975.0,7.541556664333806
261.207,NIR,975.0,7.541556664333806
261.735,NIR,975.0,7.5497506606904325
262.274,NIR,973.0,7.527648383806758
262.821,NIR,973.0,7.527648383806758
263.347,NIR,975.0,7.57522202419865
263.877,NIR,975.0,7.5497506606904325
264.415,NIR,975.0,7.5497506606904325
264.943,NIR,975.0,7.5497506606904325
265.484,NIR,977.0,7.815464631892885
266.06,NIR,977.0,8.057551328653517
266.553,NIR,975.0,8.293208555240053
267.096,NIR,975.0,8.542213215252488
267.624,NIR,977.0,8.81291255260817
268.151,NIR,975.0,9.01264812751742
268.689,NIR,975.0,9.267743739634758
269.226,NIR,976.0,9.525170399682825
269.732,NIR,976.0,9.788921414545587
270.29,NIR,975.0,10.044866994049224
270.837,NIR,975.0,10.052410987390093
271.366,NIR,975.0,10.052410987390093
271.895,NIR,976.0,10.044465704256202
272.433,NIR,976.0,10.052017943859292
272.966,NIR,976.0,10.052017943859292
273.507,NIR,976.0,10.052017943859292
274.045,NIR,976.0,10.044465704256202
274.575,NIR,976.0,10.043811218707145
275.102,NIR,977.0,10.047441267752209
275.634,NIR,977.0,10.047441267752209
276.171,NIR,977.0,10.039874711972379
276.704,NIR,977.0,10.055650552363867
277.241,NIR,977.0,10.055650552363867
277.775,NIR,977.0,10.048083996584037
278.311,NIR,977.0,10.048083996584037
278.841,NIR,976.0,10.036258979104057
279.39,NIR,976.0,10.036258979104057
279.908,NIR,976.0,10.022007779732292
280.458,NIR,976.0,10.022007779732292
280.991,NIR,975.0,10.029932042571932
281.519,NIR,975.0,10.029932042571932
282.052,NIR,975.0,10.022388049231063
282.587,NIR,975.0,10.022388049231063
283.121,NIR,975.0,10.029932042571932
283.646,NIR,975.0,10.029932042571932
284.196,NIR,976.0,10.01596330551267
284.704,NIR,976.0,10.01596330551267
285.255,NIR,975.0,10.023841090467027
285.805,NIR,975.0,10.045670032269431
286.326,NIR,975.0,10.045670032269431
286.878,NIR,975.0,10.045670032269431
287.401,NIR,976.0,10.045318984090617
287.939,NIR,975.0,10.037476035912803
