35,98421119;40,9288455;40,11653054;35,88904467;38,04838827;41,77999518;36,8645306;38,61169053;40,30662662;36,68950982;38,37715719;38,61169482;38,41042734;37,95291057;36,77437387;40,97431362;36,81381205;35,99227719;40,76456123;36,69838002;38,08601374;26,45938556;0,004;1,052;0,198;0,46;0,074;0,108;19,16352366;26,45938556;2025-04-18T13:28:23
36,10330631;41,08842023;40,2757038;36,05177258;38,16558192;42,02248873;36,98057396;38,77558734;40,46693792;36,88307888;38,53028535;38,81002988;38,57446402;38,11050993;36,88052388;41,1291193;36,92581745;36,06544627;40,88343261;36,81293285;38,20328931;26,45938556;0,004;1,049;0,199;0,461;0,074;0,108;19,46684259;26,45938556;2025-04-18T13:28:23
36,182679;41,20810748;40,39509738;36,13310675;38,28272345;42,22464714;37,09660549;38,89846381;40,62730822;36,96048501;38,72177692;38,96871881;38,73837679;38,30754427;37,02205929;41,28409672;37,03780487;36,17519336;41,00231262;36,92749233;38,28145588;26,50036207;0,005;1,05;0,199;0,461;0,074;0,108;19,66845421;26,50036207;2025-04-18T13:28:24
36,30170271;41,36770061;40,51450373;36,21442148;38,39981382;42,38642982;37,21262617;39,06223949;40,78773989;37,0765721;38,87503803;39,12742883;38,90216805;38,5046219;37,12821354;41,43924829;37,11245361;36,24835413;41,16083441;37,04205941;38,35960906;26,50036207;0,005;1,057;0,2;0,459;0,074;0,108;19,87081732;26,50036207;2025-04-18T13:28:24
36,42068494;41,5273074;40,59411554;36,33635779;38,55585641;42,58873198;37,32863696;39,18502785;40,9482353;37,15394916;39,02836191;39,28616227;39,0658402;38,66231823;37,23437108;41,59457643;37,22441312;36,35809002;41,27973831;37,15663506;38,47681437;26,54132651;0,005;1,059;0,199;0,453;0,073;0,108;20,07262386;26,54132651;2025-04-18T13:28:24
36,5396267;41,64702285;40,75335864;36,41762526;38,63384496;42,75063562;37,44463883;39,34868968;41,1087968;37,26999399;39,18175084;39,40522911;39,18851758;38,82004751;37,30514502;41,75008359;37,29904412;36,46782043;41,3590141;37,27122021;38,59399118;26,58227893;0,005;1,055;0,199;0,453;0,073;0,108;20,22391364;26,58227893;2025-04-18T13:28:25
36,61889923;41,80665909;40,83299051;36,53949212;38,75078764;42,91259685;37,56063274;39,47139535;41,22926273;37,34734378;39,33520707;39,56400913;39,35198702;39,01725898;37,41130997;41,86683291;37,41097829;36,54097143;41,47793828;37,34761606;38,67209369;26,58227893;0,005;1,068;0,198;0,454;0,072;0,108;20,42650009;26,58227893;2025-04-18T13:28:25
36,73777581;41,96631531;40,95245203;36,6613187;38,86768302;43,07461802;37,63795808;39,59406724;41,3899456;37,46334903;39,48873288;39,68311359;39,5153439;39,17507089;37,51748054;41,98368533;37,52289851;36,61412067;41,59687591;37,46221918;38,78922513;26,62321937;0,005;1,077;0,198;0,454;0,072;0,109;20,57795185;26,62321937;2025-04-18T13:28:25
36,89621935;42,08607196;41,11176118;36,74251454;38,98453204;43,2367015;37,79260059;39,71670634;41,55070109;37,57933183;39,60392427;39,80223581;39,6377891;39,33292331;37,58826446;42,13965075;37,59750468;36,7238418;41,67617562;37,57683435;38,86729829;26,62321937;0,005;1,082;0,2;0,451;0,072;0,109;20,78069121;26,62321937;2025-04-18T13:28:26
36,97541669;42,2058421;41,23126465;36,78310602;39,10133566;43,43939706;37,86991833;39,83931365;41,71153156;37,65664171;39,75757731;39,96109475;39,80095465;39,49081855;37,69444633;42,29580378;37,74670074;36,79698781;41,7951378;37,65325162;38,94536019;26,62321937;0,005;1,073;0,2;0,45;0,073;0,11;21,03422951;26,62321937;2025-04-18T13:28:26
37,09418301;42,36555828;41,35078772;36,86427626;39,17917999;43,60162936;37,98589136;39,96189013;41,87243939;37,77258923;39,87286673;40,08026221;39,92325906;39,64875896;37,80063613;42,45214692;37,82129117;36,870133;41,914116;37,76788897;39,02341114;26,62321937;0,004;1,061;0,2;0,456;0,072;0,109;21,23715502;26,62321937;2025-04-18T13:28:26
